<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20200103;000000;259.1000000;261.9000000;257.7700000;259.0000000;34326290
20200106;000000;258.9100000;258.9600000;254.8000000;256.5500000;28106710
20200108;000000;256.2500000;257.3200000;254.7700000;255.7900000;25566970
20200109;000000;255.6600000;256.6800000;251.8200000;254.0700000;33194830
20200110;000000;253.9900000;254.6000000;251.2000000;251.9000000;28545590
20200113;000000;252.5000000;252.5000000;248.4000000;251.5000000;41334580
20200114;000000;252.0000000;253.2000000;249.0000000;250.0000000;32866650
20200115;000000;249.5000000;252.5000000;247.7500000;251.3000000;43936180
20200116;000000;251.8700000;254.5400000;251.5000000;254.2600000;38394410
20200117;000000;254.7600000;256.6000000;253.8000000;255.3900000;42028610
20200120;000000;255.6500000;256.1000000;253.0100000;253.5000000;29957470
20200121;000000;253.3700000;253.4000000;250.8800000;252.9900000;26873610
20200122;000000;252.8100000;253.3900000;248.1000000;248.1000000;38825260
20200123;000000;246.9000000;247.6600000;239.0100000;239.3000000;73654660
20200124;000000;240.1200000;243.2500000;235.2800000;237.9500000;68994040
20200127;000000;235.0100000;235.4000000;229.6500000;230.9600000;104948220
20200128;000000;232.6100000;237.5900000;229.0000000;235.0000000;85405890
20200129;000000;236.9000000;237.3600000;231.3000000;232.0000000;52589600
20200130;000000;230.7000000;232.4900000;229.4500000;231.5300000;41451560
20200131;000000;232.5300000;233.7900000;226.5700000;226.7000000;70264920
20200203;000000;223.8100000;229.9800000;223.8000000;227.6400000;53572940
20200204;000000;228.4700000;231.0800000;226.6500000;230.5000000;45301220
20200205;000000;230.8900000;235.7300000;228.8000000;232.5600000;61685530
20200206;000000;234.0400000;236.0000000;230.1500000;231.3800000;42561470
20200207;000000;232.3800000;233.3900000;227.1400000;229.1100000;49649900
20200210;000000;228.5800000;229.7500000;224.4100000;225.2000000;50466570
20200211;000000;226.5600000;236.1800000;226.0100000;233.9000000;95547840
20200212;000000;235.2000000;239.8000000;234.5600000;238.0300000;83138320
20200213;000000;236.9000000;237.9800000;233.5500000;233.5500000;41949600
20200214;000000;233.7900000;235.4000000;230.9100000;232.5000000;34339380
20200217;000000;233.4000000;234.5600000;231.9100000;233.7500000;20525270
20200218;000000;232.9700000;233.2800000;229.8000000;230.5000000;30822280
20200219;000000;231.8400000;233.5000000;230.7100000;231.9000000;24383830
20200220;000000;232.5500000;235.7500000;232.0000000;234.6000000;33547100
20200221;000000;233.2000000;233.7700000;231.6100000;232.0000000;29613730
20200225;000000;227.9900000;230.0600000;224.6800000;224.6800000;51889790
20200226;000000;223.3200000;225.4700000;220.8100000;224.7600000;63577060
20200227;000000;220.9900000;223.4000000;216.8000000;217.5000000;82610580
20200228;000000;210.0000000;211.9700000;200.5700000;202.6500000;168877890
20200302;000000;207.9900000;211.9900000;195.5100000;198.7800000;151413660
20200303;000000;204.7800000;205.2700000;198.0000000;201.4800000;104199970
20200304;000000;199.9000000;204.4200000;198.2800000;200.0000000;78621910
20200305;000000;203.0000000;203.4300000;197.5000000;198.0000000;65760320
20200306;000000;193.4900000;194.2300000;185.1300000;188.2700000;131420850
20200310;000000;169.4500000;185.8400000;161.0100000;171.0000000;203245560
20200311;000000;173.9800000;175.8700000;167.3900000;172.0300000;108371760
20200312;000000;163.4000000;167.8000000;161.2000000;163.7300000;150756610
20200313;000000;164.0800000;175.6900000;164.0200000;166.1000000;142833320
20200316;000000;163.5600000;169.9900000;158.1700000;168.0700000;115641980
20200317;000000;168.9600000;175.5000000;164.5600000;167.0000000;108041540
20200318;000000;164.9000000;170.4500000;162.0000000;166.3400000;105950660
20200319;000000;168.7700000;175.2000000;164.0500000;174.5600000;121970230
20200320;000000;179.9800000;184.6900000;176.1000000;176.2600000;139598470
20200323;000000;171.0300000;172.2800000;168.0400000;168.3500000;108969290
20200324;000000;174.3600000;179.9900000;172.6100000;177.9500000;89246570
20200325;000000;182.8000000;186.9000000;175.2600000;180.2000000;114425820
20200326;000000;179.4500000;184.9000000;177.2800000;181.5000000;53884430
20200327;000000;181.2000000;181.3700000;172.0000000;174.5000000;55565750
20200330;000000;171.9900000;177.6300000;170.5000000;176.4400000;47795640
20200331;000000;178.5000000;184.6400000;178.0100000;181.4100000;69708850
20200401;000000;178.0500000;181.3800000;177.5000000;180.0600000;40356500
20200402;000000;183.8000000;190.0000000;180.2500000;187.0400000;87685660
20200403;000000;187.0300000;193.8500000;185.7200000;189.7700000;92292440
20200406;000000;192.2500000;193.4400000;189.4400000;191.1000000;62810660
20200407;000000;192.7200000;195.1300000;189.8000000;191.2200000;66726560
20200408;000000;189.7500000;194.1100000;188.1000000;194.1100000;49196260
20200409;000000;195.6900000;196.2600000;189.8800000;193.8600000;84196490
20200410;000000;191.8600000;192.4400000;190.5100000;192.0000000;16941950
20200413;000000;192.2500000;192.3600000;186.0700000;188.0700000;28468270
20200414;000000;189.5700000;191.7600000;188.3000000;190.1100000;50604120
20200415;000000;189.1600000;189.4800000;182.5600000;184.2500000;53684360
20200416;000000;185.1500000;189.1600000;182.7500000;184.3000000;56338120
20200417;000000;187.0700000;187.8700000;183.5400000;184.6800000;38709150
20200420;000000;184.1100000;186.2500000;183.0000000;185.5100000;34244800
20200421;000000;183.1700000;184.5000000;179.0500000;181.9200000;66847460
20200422;000000;181.0900000;188.5500000;180.3300000;188.3600000;48244280
20200423;000000;189.9800000;191.5900000;187.5000000;188.7300000;39797620
20200424;000000;187.9400000;187.9500000;185.1000000;185.7100000;36685880
20200427;000000;186.5300000;188.4700000;185.6900000;186.2900000;23536090
20200428;000000;185.9300000;190.6500000;185.7600000;188.5000000;44154560
20200429;000000;189.7800000;195.2300000;188.5300000;193.8700000;56201200
20200430;000000;195.4400000;196.2000000;189.6200000;190.0000000;72061970
20200504;000000;188.0000000;188.1700000;184.5200000;185.7000000;42833330
20200505;000000;188.3900000;190.3900000;187.3000000;190.0000000;39562120
20200506;000000;190.5300000;191.0500000;187.0500000;187.0500000;46377880
20200507;000000;187.5200000;190.3000000;185.5000000;185.8500000;67256130
20200508;000000;186.3400000;186.6400000;183.1000000;185.3400000;60934480
20200512;000000;184.8800000;187.2000000;183.2000000;186.1700000;49892900
20200513;000000;185.5500000;185.5500000;183.8000000;184.2000000;33177080
20200514;000000;183.2700000;184.8500000;181.6800000;183.9100000;49343510
20200515;000000;185.6200000;186.9800000;183.8500000;183.8500000;47863870
20200518;000000;185.4000000;192.5000000;185.1400000;192.5000000;60009590
20200519;000000;193.0000000;194.3900000;191.1000000;194.2000000;60258130
20200520;000000;193.5700000;197.2700000;192.7900000;196.7400000;73790890
20200521;000000;196.1000000;199.2600000;191.4000000;194.7400000;90059720
20200522;000000;194.0000000;195.7600000;192.2100000;194.3500000;42278710
20200525;000000;195.2100000;197.5500000;195.1100000;197.5500000;20030490
20200526;000000;198.8000000;202.3000000;196.3000000;196.8600000;65940550
20200527;000000;196.1000000;197.7500000;193.1500000;194.7300000;55228910
20200528;000000;194.4000000;196.9800000;194.1700000;196.8600000;39920270
20200529;000000;196.2500000;199.9500000;193.2000000;199.9500000;172617900
20200601;000000;200.2500000;202.4700000;197.1500000;198.7200000;54163710
20200602;000000;199.4800000;202.1900000;198.7200000;201.9700000;45255750
20200603;000000;203.1000000;208.1500000;202.0100000;208.0000000;65058830
20200604;000000;207.9900000;207.9900000;200.6000000;201.4600000;72176320
20200605;000000;202.5600000;204.8400000;201.5100000;203.0500000;44798190
20200608;000000;204.9500000;206.5000000;202.9700000;204.9100000;40076610
20200609;000000;205.4100000;206.1000000;201.5700000;204.8400000;35361030
20200610;000000;204.8800000;205.2700000;200.5300000;201.7500000;41510100
20200611;000000;200.1900000;200.1900000;195.1500000;196.7400000;48834830
20200615;000000;193.8500000;196.1500000;191.0000000;194.2000000;54158910
20200616;000000;196.0600000;199.5900000;195.2000000;196.5900000;43322650
20200617;000000;197.7200000;199.0800000;195.2100000;195.8600000;34389160
20200618;000000;195.4400000;195.5700000;191.8500000;193.0000000;45807200
20200619;000000;194.1700000;196.0700000;193.8200000;195.8100000;45158120
20200622;000000;195.3500000;195.3500000;192.6200000;194.3000000;36763320
20200623;000000;194.7800000;196.3200000;194.0000000;194.8300000;33800940
20200625;000000;191.8000000;192.4800000;190.5500000;192.2500000;48747730
20200626;000000;192.8000000;195.6900000;190.5100000;193.0000000;60289440
20200629;000000;192.6700000;198.1000000;192.5800000;197.9400000;45797120
20200630;000000;197.9000000;198.4800000;193.2400000;194.3100000;52228420
20200702;000000;195.3100000;195.8400000;194.4000000;195.2800000;34114100
20200703;000000;195.6500000;197.4800000;194.7700000;197.2000000;26423160
20200706;000000;199.2100000;201.7500000;198.5300000;199.9900000;46417970
20200707;000000;199.7000000;199.9400000;197.7500000;197.9600000;35182460
20200708;000000;198.0000000;201.1900000;197.5500000;201.1700000;30730070
20200709;000000;201.4800000;202.0000000;198.4000000;199.4400000;40355340
20200710;000000;198.2500000;201.7000000;197.2200000;200.9400000;39028520
20200713;000000;201.6000000;202.3300000;195.5000000;195.7000000;62999870
20200714;000000;195.0900000;196.6500000;192.4800000;193.6000000;83060710
20200715;000000;180.6000000;184.2700000;179.8000000;182.2600000;73463320
20200716;000000;181.2000000;183.8000000;181.0700000;183.3200000;29409000
20200717;000000;183.8000000;184.9300000;182.8700000;184.6500000;25471860
20200720;000000;184.6700000;188.4100000;183.8800000;188.3600000;30010590
20200721;000000;188.9900000;189.7700000;186.2500000;186.7800000;44388320
20200722;000000;187.0300000;188.5900000;186.0700000;187.1500000;22767680
20200723;000000;187.5000000;188.3000000;184.4000000;184.6900000;29769530
20200724;000000;184.8300000;186.4500000;184.1200000;185.4500000;30313190
20200727;000000;185.6000000;185.9200000;184.2000000;185.0300000;22734510
20200728;000000;185.1300000;185.4600000;183.6000000;184.3000000;26633740
20200729;000000;184.5000000;185.3500000;183.4200000;184.6900000;27882380
20200730;000000;184.4400000;184.7300000;180.9100000;182.5200000;34011750
20200731;000000;182.6000000;184.8400000;181.6100000;182.5900000;44920000
20200803;000000;182.5100000;184.0300000;181.7200000;183.6000000;28651930
20200804;000000;184.0600000;184.6800000;182.1700000;183.3100000;32428960
20200805;000000;183.5200000;189.9800000;183.3500000;189.1500000;75423620
20200806;000000;189.5600000;189.9200000;187.1300000;189.0700000;42849450
20200807;000000;188.4400000;188.5700000;185.8100000;187.2300000;28808600
20200810;000000;187.4900000;188.8500000;186.8300000;187.7000000;24226570
20200811;000000;187.8800000;192.4000000;187.8800000;189.7000000;51902080
20200812;000000;190.4700000;193.2900000;189.3200000;192.8000000;35583620
20200813;000000;192.5000000;194.4400000;191.2500000;193.7600000;37819700
20200814;000000;194.2500000;194.2500000;190.7100000;192.8300000;29780320
20200817;000000;193.8400000;194.6800000;189.2000000;190.4700000;55677760
20200818;000000;190.0700000;191.9500000;189.2500000;190.3000000;27776390
20200819;000000;190.5000000;191.9900000;189.0000000;189.2600000;31452990
20200820;000000;188.8000000;188.9400000;185.5800000;186.9500000;37649810
20200821;000000;187.2500000;187.7900000;183.5000000;184.5100000;33830700
20200824;000000;185.3700000;187.4400000;184.8400000;187.1000000;24264740
20200825;000000;187.4500000;187.9900000;184.7300000;186.2500000;19552010
20200826;000000;186.2200000;188.0000000;185.0000000;187.4800000;25456340
20200827;000000;187.5000000;188.0100000;182.6200000;184.5800000;38183770
20200828;000000;184.9600000;185.2200000;182.4800000;182.9000000;34291080
20200831;000000;183.1200000;184.2800000;180.5100000;181.0100000;47459530
20200901;000000;181.4000000;184.8700000;181.0100000;184.2200000;48007480
20200902;000000;184.8000000;186.2900000;181.1000000;181.9500000;50239120
20200903;000000;182.4000000;182.5900000;178.6000000;179.1300000;62908720
20200904;000000;178.9800000;180.5600000;178.0000000;179.5500000;43008870
20200907;000000;178.8200000;179.7500000;175.9400000;177.0400000;38983590
20200908;000000;177.0000000;177.4300000;172.4000000;172.9500000;63837660
20200909;000000;172.7800000;175.3500000;172.3300000;173.6900000;41967040
20200910;000000;173.8000000;174.6400000;171.1100000;173.8000000;34012170
20200911;000000;174.3300000;178.2700000;173.1000000;178.0500000;36889720
20200914;000000;178.4500000;180.8000000;177.5200000;178.1900000;37563920
20200915;000000;178.1300000;182.9500000;178.0100000;182.2200000;42445100
20200916;000000;182.6900000;184.1600000;181.3500000;183.2600000;37370250
20200917;000000;181.7800000;184.8400000;180.3400000;183.9000000;49663210
20200918;000000;184.4000000;184.7000000;181.3400000;181.5200000;45215700
20200921;000000;181.3600000;181.3600000;175.3600000;177.1700000;41282960
20200922;000000;176.5800000;180.9000000;176.4200000;179.0000000;36380350
20200923;000000;179.8100000;180.3700000;176.8100000;177.0000000;31848780
20200924;000000;176.0000000;178.4900000;171.9000000;174.2300000;49687540
20200925;000000;175.1200000;175.1700000;169.6000000;173.7700000;96284070
